,image_name,red,green,blue,ml det,stdev,ml0,ml,MSE (ml det),MSE (ml)
0,stego_1.png,0.272734836,0.316306268,0.320014469,0.303018524,0.0262919,0.078679812,0.243497011,0.023414669,0.008741691
1,stego_10.png,0.372399701,0.142370564,0.187067298,0.233945855,0.121969464,0.122033567,0.127467615,0.007046906,0.000507708
2,stego_100.png,0.100241387,0.200218245,0.155275578,0.151911737,0.050073243,0.044380863,0.112524822,3.65E-06,0.001404389
3,stego_1000.png,0.193788003,0.365280622,0.262021437,0.273696687,0.086340391,0.178465585,0.115918579,0.01530087,0.001161543
4,stego_10000.png,0.3258678,0.26343496,0.371443428,0.320248729,0.054223037,0.207073247,0.14273132,0.02898463,5.28E-05
5,stego_10001.png,0.159393651,0.189493862,0.162103289,0.170330267,0.016651368,0.081082987,0.097122242,0.00041332,0.002796057
6,stego_10002.png,0.194083297,0.202773568,0.162608512,0.186488459,0.021132182,0.023789744,0.166663599,0.001331408,0.000277676
7,stego_10003.png,0.203074431,0.041706951,0.166499092,0.137093491,0.084607228,0.033811846,0.106895996,0.000166578,0.001857955
8,stego_10004.png,0.380267187,0.27351947,0.157842897,0.270543185,0.111242011,0.083394462,0.204175859,0.014530659,0.002935024
9,stego_10005.png,0.29083823,0.363551465,0.325827593,0.326739096,0.036365186,0.211780814,0.145845577,0.031236708,1.73E-05
10,stego_10006.png,0.162351967,0.299680399,0.214279348,0.225437238,0.069340814,0.102148752,0.137315046,0.005690777,0.000160908
11,stego_10007.png,0.164486821,0.141201911,0.157396412,0.154361714,0.011935401,0.010798835,0.145130116,1.90E-05,2.37E-05
12,stego_10008.png,0.127815361,0.14438961,0.122463335,0.131556102,0.011431764,0.008177363,0.12439597,0.000340177,0.000655566
13,stego_10009.png,0.133536755,0.220802564,0.21831906,0.190886127,0.049681533,0.061018343,0.138307051,0.001671675,0.000136725
14,stego_1001.png,0.112012201,0.153005309,0.143889757,0.136302423,0.021524044,0.014613649,0.123493464,0.000187624,0.000702596
15,stego_10010.png,0.237144191,0.251575914,0.283621764,0.25744729,0.023788569,0.020450259,0.241944866,0.01154492,0.008453858
16,stego_10011.png,0.237581186,0.207768845,0.294689018,0.246679683,0.04416861,0.052417152,0.205008492,0.009346961,0.003025934
17,stego_10012.png,0.219681096,0.198794416,0.207324418,0.208599977,0.010501602,0.0106445,0.200085285,0.003433957,0.002508536
18,stego_10013.png,0.29082136,0.255191847,0.32537255,0.290461919,0.035091732,0.152968393,0.162323961,0.019729551,0.00015188
19,stego_10014.png,0.203783721,0.141491623,0.151774709,0.165683351,0.033394073,0.026825606,0.142685367,0.000245968,5.35E-05
20,stego_10015.png,0.163421291,0.188255374,0.192867631,0.181514765,0.0158382,0.011154496,0.172281988,0.00099318,0.000496487
21,stego_10016.png,0.177775714,0.265032876,0.166766678,0.203191756,0.053838117,0.049438702,0.161749752,0.002829363,0.000138057
22,stego_10017.png,0.232473962,0.157165027,0.223954385,0.204531125,0.041240832,0.035119436,0.175577885,0.002973644,0.000654228
23,stego_10018.png,0.170853792,0.187120103,0.060690535,0.13955481,0.06878102,0.045890153,0.098169678,0.000109102,0.002686382
24,stego_10019.png,0.143576664,0.10360757,0.143741136,0.130308457,0.023123793,0.038839728,0.095164908,0.000387757,0.003006887
25,stego_1002.png,0.144313799,0.153986234,0.140848392,0.146382808,0.006808915,0.009003747,0.138627226,1.31E-05,0.00012934
26,stego_10020.png,0.166213701,0.20890734,0.188123672,0.187748238,0.021349296,0.018482323,0.172453251,0.001424929,0.000504148
27,stego_10021.png,0.21586543,0.232578799,0.169364772,0.205936334,0.032755817,0.045854345,0.167775211,0.003128873,0.000315958
28,stego_10022.png,0.21257032,0.28017902,0.211585312,0.234778217,0.039321333,0.029787538,0.211284319,0.007187346,0.003755768
29,stego_10023.png,0.430741385,0.418952609,0.383076063,0.410923352,0.024826346,0.101126793,0.344649898,0.068080996,0.037888583
30,stego_10024.png,0.283332574,0.197081637,0.246891277,0.242435163,0.043297791,0.03751552,0.212906958,0.008544259,0.003957285
31,stego_10025.png,0.190060385,0.19405816,0.119051848,0.167723464,0.042198226,0.043426306,0.129939971,0.000314121,0.000402405
32,stego_10026.png,0.274486879,0.333641903,0.266360775,0.291496519,0.036724425,0.024516532,0.273689914,0.020021265,0.015299195
33,stego_10027.png,0.300885973,0.182076429,0.227836224,0.236932875,0.059924859,0.058908842,0.189167682,0.007557325,0.001534107
34,stego_10028.png,0.546678499,0.501425103,0.537406652,0.528503418,0.023904354,0.033227427,0.512298347,0.143264837,0.131260092
35,stego_10029.png,0.136158441,0.137489318,0.132971448,0.135539736,0.002321612,0.023141354,0.11506105,0.000209099,0.00122073
36,stego_1003.png,0.274684955,0.324387951,0.303797487,0.300956798,0.024972967,0.05126375,0.263184892,0.022787955,0.01281082
37,stego_10030.png,0.097157419,0.123258884,0.118482929,0.112966411,0.013897683,0.021579143,0.09340282,0.001371487,0.003203241
38,stego_10031.png,0.217491718,0.21507549,0.252333153,0.22830012,0.02084825,0.134435298,0.108443449,0.006130909,0.001726947
39,stego_10032.png,0.359761679,0.14761395,0.278936119,0.262103916,0.107070804,0.185987941,0.093507184,0.012567288,0.003191438
40,stego_10033.png,0.179711753,0.14132784,0.174831306,0.1652903,0.020895078,0.043892482,0.126970885,0.000233793,0.00053034
41,stego_10034.png,0.186191058,0.160245988,0.167188842,0.171208629,0.013431518,0.012888765,0.160387056,0.000449806,0.000107891
42,stego_10035.png,0.237510938,0.144689083,0.182529773,0.188243265,0.046673946,0.041876165,0.152764282,0.001462547,7.64E-06
43,stego_10036.png,0.189026793,0.102153204,0.129433295,0.140204431,0.04442711,0.031735031,0.112024501,9.60E-05,0.001442139
44,stego_10037.png,0.208777413,0.1399185,0.03846581,0.129053907,0.085674034,0.051673441,0.081596857,0.000438739,0.00467899
45,stego_10038.png,0.187409278,0.182815273,0.171773693,0.180666081,0.008036301,0.045398043,0.141700986,0.000940409,6.89E-05
46,stego_10039.png,0.313002094,0.249537007,0.287326909,0.28328867,0.031924675,0.037686129,0.255220826,0.01776587,0.011071422
47,stego_1004.png,0.280597803,0.323774684,0.256484046,0.286952178,0.03409239,0.044062407,0.254085384,0.018755899,0.010833767
48,stego_10040.png,0.166252486,0.159588491,0.117969864,0.147936947,0.026165277,0.02289576,0.127971185,4.26E-06,0.000485269
49,stego_10041.png,0.162379677,0.13763298,0.251988291,0.184000316,0.060165383,0.129486738,0.06262234,0.001156021,0.007634855
50,stego_10042.png,0.284890195,0.288298853,0.279514318,0.284234456,0.004428827,0.025812931,0.265268892,0.018018889,0.013286917
51,stego_10043.png,0.31516631,0.412448036,0.289455923,0.339023423,0.064874004,0.18737064,0.186619867,0.035729854,0.001341015
52,stego_10044.png,0.157807538,0.147438228,0.158490719,0.154578829,0.006193369,0.024061235,0.133735433,2.10E-05,0.000264536
53,stego_10045.png,0.135568859,0.108236958,0.184777781,0.142861199,0.038787989,0.085105251,0.063128516,5.10E-05,0.007546655
54,stego_10046.png,0.202707164,0.366902522,0.361485272,0.310364986,0.093273746,0.248807974,0.081945774,0.025716929,0.004631378
55,stego_10047.png,0.131220504,0.222513309,0.16257973,0.172104514,0.046385722,0.026588618,0.149490646,0.00048861,2.59E-07
56,stego_10048.png,0.12579675,0.122869224,0.131924562,0.126863512,0.00462096,0.032425712,0.097602635,0.000535297,0.002745484
57,stego_10049.png,0.197441609,0.272456586,0.201348344,0.223748846,0.042227344,0.038334323,0.192805595,0.005438892,0.001832319
58,stego_1005.png,0.340489614,0.368842678,0.342045081,0.350459125,0.01593961,0.045584605,0.319435878,0.040183861,0.028708517
59,stego_10050.png,0.105349582,0.192789467,0.146450459,0.148196502,0.043746084,0.057293681,0.096427508,3.25E-06,0.002870012
60,stego_10051.png,0.131127595,0.136340779,0.078878965,0.115449113,0.031777762,0.038638414,0.079897824,0.001193764,0.004914315
61,stego_10052.png,0.312496823,0.120490608,0.368481145,0.267156192,0.130064046,0.182515103,0.103538413,0.013725573,0.002158679
62,stego_10053.png,0.225292299,0.194580994,0.356378669,0.258750654,0.085931473,0.158566544,0.119063616,0.011826705,0.00095706
63,stego_10054.png,0.112302331,0.156211635,0.093699824,0.12073793,0.032098304,0.028423826,0.095014788,0.000856269,0.003023374
64,stego_10055.png,0.153512338,0.160975932,0.093465929,0.135984733,0.037010983,0.04833019,0.092106046,0.000196428,0.00335171
65,stego_10056.png,0.146290762,0.18727773,0.139588561,0.157719018,0.02581701,0.020480895,0.140107653,5.96E-05,9.79E-05
66,stego_10057.png,0.16751978,0.142519236,0.167783505,0.159274174,0.0145108,0.085513291,0.080658234,8.60E-05,0.004808281
67,stego_10058.png,0.141440387,0.315481674,0.265035775,0.240652612,0.089546057,0.069201758,0.184197656,0.008217896,0.00116948
68,stego_10059.png,0.152513391,0.169936895,0.127101233,0.149850506,0.021541627,0.046349775,0.108531124,2.23E-08,0.001719668
69,stego_1006.png,0.377563235,0.301459835,0.337906441,0.338976504,0.038062983,0.101692214,0.264145868,0.035712119,0.013029279
70,stego_10060.png,0.328140742,0.353775614,0.28732353,0.323079962,0.033513855,0.066586358,0.274790931,0.029956673,0.015572776
71,stego_10061.png,0.128127904,0.125136498,0.099186348,0.117483583,0.015916305,0.042270886,0.078532328,0.001057317,0.005107628
72,stego_10062.png,0.174669922,0.100418808,0.17824494,0.151111223,0.043937295,0.043436553,0.112564065,1.23E-06,0.001401449
73,stego_10063.png,0.107456662,0.16022825,0.088881479,0.118855464,0.037014051,0.020063897,0.100814294,0.000969982,0.002419234
74,stego_10064.png,0.255199594,0.24635242,0.271753427,0.25776848,0.012893881,0.048010248,0.220336649,0.011614045,0.004947244
75,stego_10065.png,0.304678547,0.305291003,0.302001755,0.303990435,0.00174926,0.231500362,0.09432675,0.023713054,0.003099511
76,stego_10066.png,0.256168204,0.265523205,0.268247142,0.26331285,0.006335569,0.028885067,0.241400657,0.012839802,0.00835408
77,stego_10067.png,0.174288474,0.171203082,0.187168243,0.177553267,0.008468515,0.105492307,0.080559351,0.000759183,0.004822004
78,stego_10068.png,0.216808981,0.22656302,0.210234957,0.217868986,0.008215481,0.13147982,0.09946708,0.004606199,0.002553576
79,stego_10069.png,0.253999994,0.226339437,0.244885664,0.241741699,0.014095744,0.037104716,0.212522572,0.008416539,0.003909072
80,stego_1007.png,0.355941936,0.333460451,0.372163745,0.353855378,0.019435831,0.034818037,0.330546314,0.041557015,0.032596972
81,stego_10070.png,0.16827905,0.147105056,0.169572365,0.161652157,0.012614745,0.01154287,0.151862213,0.000135773,3.47E-06
82,stego_10071.png,0.248332967,0.273787059,0.260644753,0.260921593,0.012729304,0.010368604,0.253178092,0.0123036,0.010645719
83,stego_10072.png,0.179825972,0.159417342,0.197189446,0.17881092,0.018906499,0.027791306,0.155336622,0.000830069,2.85E-05
84,stego_10073.png,0.117737487,0.143450048,0.103870879,0.121686138,0.020082867,0.008469821,0.11418343,0.000801675,0.001282827
85,stego_10074.png,0.17396667,0.14540488,0.206846744,0.175406098,0.030746213,0.045764008,0.135859568,0.00064547,0.000199952
